Date,White1,White2,White3,White4,White5,Powerball
2023-04-29,16,53,54,57,65,8
2023-05-01,3,38,55,61,66,1
2023-05-03,21,26,30,45,47,23
2023-05-06,31,39,47,51,53,6
2023-05-08,15,20,33,36,43,12
2023-05-10,21,24,33,55,69,3
2023-05-13,3,15,20,23,46,11
2023-05-15,1,26,28,55,58,25
2023-05-17,18,34,37,45,51,14
2023-05-20,17,23,32,38,63,23
2023-05-22,9,38,48,52,68,25
2023-05-24,12,21,44,50,58,26
2023-05-27,24,38,39,48,56,4
2023-05-29,21,33,35,62,64,24
2023-05-31,2,4,54,61,62,14
2023-06-03,15,45,64,67,68,18
2023-06-05,2,31,45,46,49,20
2023-06-07,16,21,29,53,66,2
2023-06-10,21,32,42,46,50,4
2023-06-12,2,3,16,23,68,7
2023-06-14,3,20,36,42,64,4
2023-06-17,2,12,45,61,64,26
2023-06-19,36,39,52,57,69,1
2023-06-21,5,11,33,35,63,14
2023-06-24,2,38,44,50,62,19
2023-06-26,6,28,39,43,54,12
2023-06-28,19,25,34,57,68,4
2023-07-01,4,17,35,49,61,8
2023-07-03,15,26,31,38,61,3
2023-07-05,17,24,48,62,68,23
2023-07-08,7,23,24,32,43,18
2023-07-10,2,24,34,53,58,13
2023-07-12,23,35,45,66,67,20
2023-07-15,2,9,43,55,57,18
2023-07-17,5,8,9,17,41,21
2023-07-19,7,10,11,13,24,24
2023-07-22,25,27,36,37,63,7
2023-07-24,3,4,12,28,49,25
2023-07-26,3,16,40,48,60,14
2023-07-29,10,25,27,34,38,2
2023-07-31,2,11,48,58,65,13
2023-08-02,23,24,33,51,64,5
2023-08-05,18,42,44,62,65,23
2023-08-07,6,13,20,35,54,22
2023-08-09,10,15,21,67,69,3
2023-08-12,19,21,37,50,65,26
2023-08-14,32,34,37,39,47,3
2023-08-16,9,11,17,19,55,1
2023-08-19,1,25,27,38,62,13
2023-08-21,3,4,12,22,28,16
2023-08-23,25,30,32,33,55,20
2023-08-26,20,22,26,28,63,5
2023-08-28,4,6,25,55,68,26
2023-08-30,4,13,35,61,69,4
2023-09-02,25,38,42,66,67,19
2023-09-04,1,26,32,46,51,13
2023-09-06,9,14,20,23,63,1
2023-09-09,11,19,29,63,68,25
2023-09-11,9,25,27,53,66,5
2023-09-13,22,30,37,44,45,18
2023-09-16,8,11,19,24,46,5
2023-09-18,2,21,26,40,42,9
2023-09-20,16,27,59,62,63,23
2023-09-23,1,12,20,33,66,21
2023-09-25,10,12,22,36,50,4
2023-09-27,1,7,46,47,63,7
2023-09-30,19,30,37,44,46,22
2023-10-02,12,26,27,43,47,5
2023-10-04,9,35,54,63,64,1
2023-10-07,47,54,57,60,65,19
2023-10-09,16,34,46,55,67,14
2023-10-11,22,24,40,52,64,10
2023-10-14,14,16,42,48,64,14
2023-10-16,2,27,31,44,64,18
2023-10-18,1,4,13,35,58,24
2023-10-21,6,15,24,67,68,11
2023-10-23,18,21,25,46,64,21
2023-10-25,25,27,41,53,68,2
2023-10-28,14,24,50,59,64,2
2023-10-30,19,22,34,66,69,5
2023-11-01,22,26,39,47,63,12
2023-11-04,1,28,30,34,52,6
2023-11-06,12,25,40,59,61,26
2023-11-08,14,21,33,39,62,20
2023-11-11,1,12,14,24,57,7
2023-11-13,24,33,35,37,42,21
2023-11-15,3,4,51,53,60,6
2023-11-18,34,50,51,61,67,20
2023-11-20,19,26,30,39,63,13
2023-11-22,20,24,33,39,42,21
2023-11-25,27,33,63,66,68,9
2023-11-27,2,21,38,61,66,12
2023-11-29,6,47,50,61,68,4
2023-12-02,28,35,41,47,60,3
2023-12-04,18,19,27,28,45,9
2023-12-06,2,12,37,56,65,21
2023-12-09,5,25,26,40,60,1
2023-12-11,1,24,27,31,62,20
2023-12-13,3,8,41,56,64,18
2023-12-16,3,9,10,20,62,25
2023-12-18,5,8,19,34,39,26
2023-12-20,27,35,41,56,60,16
2023-12-23,9,14,17,18,53,6
2023-12-25,5,12,20,24,29,4
2023-12-27,4,11,38,51,68,5
2023-12-30,10,11,26,27,34,7
2024-01-01,12,21,42,44,49,1
2024-01-03,30,31,38,48,68,8
2024-01-06,4,31,34,38,61,13
2024-01-08,7,17,28,40,45,2
2024-01-10,25,40,43,48,50,11
2024-01-13,13,31,33,51,58,15
2024-01-15,13,30,35,49,59,4
2024-01-17,18,22,43,61,65,2
2024-01-20,16,31,34,47,65,10
2024-01-22,24,25,43,52,63,21
2024-01-24,1,5,32,50,64,8
2024-01-27,7,38,65,66,68,21
2024-01-29,39,41,43,49,64,4
2024-01-31,15,18,19,41,43,14
2024-02-03,9,11,27,59,66,19
2024-02-05,1,2,27,30,67,9
2024-02-07,12,21,62,67,69,17
2024-02-10,27,28,34,37,44,8
2024-02-12,17,36,43,53,67,14
2024-02-14,1,4,45,47,67,18
2024-02-17,6,28,59,62,69,21
2024-02-19,4,23,45,50,53,17
2024-02-21,4,27,33,41,42,14
2024-02-24,3,8,40,53,58,3
2024-02-26,24,29,42,51,54,16
2024-02-28,16,26,29,38,50,6
2024-03-02,3,18,27,36,53,12
2024-03-04,36,42,50,52,67,26
2024-03-06,6,19,28,44,60,10
2024-03-09,30,36,49,52,63,16
2024-03-11,1,3,7,16,66,5
2024-03-13,21,29,54,59,62,4
2024-03-16,12,23,44,57,61,5
2024-03-18,10,17,20,39,44,16
2024-03-20,13,22,27,54,66,9
2024-03-23,6,23,25,34,51,3
2024-03-25,7,11,19,53,68,23
2024-03-27,37,46,57,60,66,8
2024-03-30,12,13,33,50,52,23
2024-04-01,19,24,40,42,56,23
2024-04-03,11,38,41,62,65,15
2024-04-06,22,27,44,52,69,9
2024-04-08,6,21,23,39,54,23
2024-04-10,6,7,12,24,36,15
2024-04-13,7,33,40,43,69,10
2024-04-15,7,16,41,56,61,23
2024-04-17,24,29,44,47,54,2
2024-04-20,4,35,41,44,58,25
2024-04-22,12,16,33,39,52,1
2024-04-24,2,20,22,26,47,21
2024-04-27,9,30,53,55,62,23
2024-04-29,11,38,47,67,69,14
2024-05-01,1,11,19,21,68,15
2024-05-04,14,20,23,53,69,4
2024-05-06,7,23,24,56,60,25
2024-05-08,7,41,43,44,51,5
2024-05-11,3,6,39,49,67,21
2024-05-13,5,14,29,38,66,1
2024-05-15,19,42,45,55,69,6
2024-05-18,19,36,37,42,59,19
2024-05-20,1,7,48,64,68,5
2024-05-22,5,16,18,26,67,4
2024-05-25,6,33,35,36,64,24
2024-05-27,9,30,39,49,59,21
2024-05-29,17,34,56,60,61,9
2024-06-01,28,38,52,54,68,8
2024-06-03,19,29,35,36,45,16
2024-06-05,8,44,45,51,69,12
2024-06-08,8,38,52,54,64,15
2024-06-10,3,10,33,58,59,9
2024-06-12,19,30,31,61,62,21
2024-06-15,4,36,48,54,56,2
2024-06-17,30,48,53,58,66,9
2024-06-19,4,27,44,50,64,7
2024-06-22,4,5,15,32,62,21
2024-06-24,5,6,36,53,69,8
2024-06-26,4,9,36,47,56,7
2024-06-29,26,51,54,61,69,25
2024-07-01,5,9,32,39,55,9
2024-07-03,2,26,33,55,57,22
2024-07-06,5,32,35,39,49,21
2024-07-08,20,22,31,33,45,1
2024-07-10,7,11,12,27,46,26
2024-07-13,9,55,59,66,69,21
2024-07-15,9,31,39,40,45,23
2024-07-17,24,27,32,47,66,26
2024-07-20,18,25,31,40,57,4
2024-07-22,31,36,56,58,69,20
2024-07-24,16,42,59,63,68,13
2024-07-27,3,31,37,40,64,17
2024-07-29,11,27,30,33,44,16
2024-07-31,23,34,37,50,58,7
2024-08-03,13,33,40,60,61,20
2024-08-05,29,42,44,51,54,12
2024-08-07,6,19,35,47,57,9
2024-08-10,9,24,33,64,69,9
2024-08-12,9,22,57,67,68,14
2024-08-14,8,9,23,29,62,13
2024-08-17,12,31,43,45,46,22
2024-08-19,1,2,15,23,28,10
2024-08-21,27,31,33,38,67,3
2024-08-24,5,15,21,24,43,17
2024-08-26,2,4,23,68,69,15
2024-08-28,5,33,47,50,64,20
2024-08-31,4,34,35,38,69,19
2024-09-02,8,42,46,48,53,22
2024-09-04,7,10,21,33,59,20
2024-09-07,14,34,37,55,63,20
2024-09-09,1,16,21,47,60,5
2024-09-11,10,12,55,65,67,3
2024-09-14,29,34,38,48,56,16
2024-09-16,8,9,11,27,31,17
2024-09-18,1,11,22,47,68,7
2024-09-21,17,19,21,37,45,14
2024-09-23,15,21,25,37,45,19
2024-09-25,2,26,45,46,52,21
2024-09-28,3,11,13,24,39,22
2024-09-30,9,11,30,43,69,20
2024-10-02,1,2,21,37,43,21
2024-10-05,2,12,46,52,65,3
2024-10-07,18,30,31,52,63,22
2024-10-09,25,32,43,53,66,10
2024-10-12,5,14,20,41,57,6
2024-10-14,14,18,33,64,67,14
2024-10-16,4,30,39,44,60,11
2024-10-19,7,16,19,45,64,25
2024-10-21,1,25,57,62,64,15
2024-10-23,2,15,27,29,39,20
2024-10-26,8,12,40,45,51,15
2024-10-28,21,27,32,48,67,17
2024-10-30,13,22,29,43,58,22
2024-11-02,10,45,48,58,61,2
2024-11-04,6,18,33,48,53,21
2024-11-06,12,17,37,58,62,4
2024-11-09,11,24,50,56,66,16
2024-11-11,3,21,24,34,46,9
2024-11-13,9,20,26,43,58,9
2024-11-16,21,22,25,32,38,16
2024-11-18,27,31,41,52,69,26
2024-11-20,16,30,60,62,64,25
2024-11-23,12,13,34,44,67,8
2024-11-25,5,35,45,60,63,12
2024-11-27,1,6,7,13,40,5
2024-11-30,4,24,29,39,63,25
2024-12-02,3,9,26,61,67,13
2024-12-04,1,23,25,28,61,13
2024-12-07,1,31,43,55,57,22
2024-12-09,35,37,40,45,51,24
2024-12-11,13,44,50,52,54,20
2024-12-14,12,17,23,52,67,1
2024-12-16,9,30,33,57,61,17
2024-12-18,6,15,18,33,49,7
2024-12-21,1,12,17,21,58,1
2024-12-23,22,42,44,57,64,18
2024-12-25,15,26,27,30,35,3
2024-12-28,6,31,51,54,55,12
2024-12-30,9,19,33,38,39,1
2025-01-01,6,12,28,35,66,26
2025-01-04,26,32,43,54,56,24
2025-01-06,17,34,46,66,67,14
2025-01-08,1,20,36,38,43,24
2025-01-11,3,6,32,37,65,4
2025-01-13,4,6,16,39,66,9
2025-01-15,8,41,52,53,58,7
2025-01-18,14,31,35,64,69,23
2025-01-20,15,16,32,47,54,6
2025-01-22,5,6,27,40,49,5
2025-01-25,8,15,17,53,66,14
2025-01-27,2,40,47,53,55,20
2025-01-29,8,12,31,33,38,18
2025-02-01,23,29,32,49,61,8
2025-02-03,12,37,47,54,60,17
2025-02-05,19,27,30,50,62,14
2025-02-08,23,44,57,60,62,9
2025-02-10,2,17,18,29,43,3
2025-02-12,21,32,36,45,49,18
2025-02-15,3,16,45,54,56,12
2025-02-17,4,44,47,52,57,9
2025-02-19,6,21,28,49,60,20
2025-02-22,7,18,22,50,65,15
2025-02-24,10,11,34,59,68,14
2025-02-26,28,48,55,60,62,20
2025-03-01,2,23,36,44,49,25
2025-03-03,18,20,50,52,56,20
2025-03-05,24,28,40,63,65,20
2025-03-08,2,4,16,23,63,13
2025-03-10,17,40,47,50,55,6
2025-03-12,11,13,28,51,58,1
2025-03-15,12,28,33,36,54,5
2025-03-17,11,18,23,38,60,9
2025-03-19,8,11,21,49,59,15
2025-03-22,6,7,25,46,57,12
2025-03-24,6,23,35,36,47,12
2025-03-26,5,20,29,39,53,6
2025-03-29,7,11,21,53,61,2
2025-03-31,12,41,44,52,64,25
2025-04-02,5,17,41,64,69,1
2025-04-05,4,23,30,46,62,2
2025-04-07,20,23,48,59,66,4
2025-04-09,4,29,37,55,67,10
2025-04-12,16,22,44,45,53,19
2025-04-14,3,20,30,52,62,1
2025-04-16,20,24,42,43,49,19
2025-04-19,7,25,37,39,63,1
2025-04-21,4,33,45,46,51,25
2025-04-23,15,44,63,66,69,20
2025-04-26,1,12,14,18,69,2
2025-04-28,26,43,51,56,60,24
2025-04-30,1,2,3,57,59,9
2025-05-03,10,21,23,35,65,24
2025-05-05,16,34,40,45,66,19
2025-05-07,14,15,30,40,59,20
2025-05-10,5,20,28,39,42,13
2025-05-12,15,16,41,48,60,21
2025-05-14,4,10,24,29,53,4
2025-05-17,7,34,40,42,52,15
2025-05-19,13,14,37,50,60,11
2025-05-21,9,29,31,34,43,2
2025-05-24,12,18,28,48,52,5
2025-05-26,13,47,52,64,67,25
2025-05-28,23,27,32,35,59,11
2025-05-31,1,29,37,56,68,13
2025-06-02,1,7,44,57,61,21
2025-06-04,5,17,23,35,45,24
2025-06-07,31,36,43,48,62,25
2025-06-09,30,33,40,43,52,25
2025-06-11,13,25,29,37,53,3
2025-06-14,4,6,9,23,59,25
2025-06-16,17,21,23,27,52,19
2025-06-18,23,29,50,64,67,11
2025-06-21,3,16,32,52,62,24
2025-06-23,5,25,42,44,65,20
2025-06-25,2,12,37,51,61,22
2025-06-28,4,35,43,52,62,12
2025-06-30,13,28,44,52,55,6
2025-07-02,7,19,21,54,63,21
2025-07-05,1,28,34,50,58,8
2025-07-07,33,35,58,61,69,25
2025-07-09,5,9,25,28,69,5
2025-07-12,8,16,24,33,54,18
2025-07-14,8,12,45,46,63,24
2025-07-16,4,21,43,48,49,22
2025-07-19,28,48,51,61,69,20
2025-07-21,8,11,28,33,42,2
2025-07-23,2,18,19,25,35,25
2025-07-26,8,31,57,65,67,23
2025-07-28,7,35,36,43,62,3
2025-07-30,4,15,35,50,64,8
2025-08-02,6,18,34,35,36,2
2025-08-04,8,9,19,31,38,21
2025-08-06,15,27,43,45,53,9
2025-08-09,7,14,23,24,60,14
2025-08-11,6,16,33,40,62,2
2025-08-13,4,11,40,44,50,4
2025-08-16,23,40,49,65,69,23
2025-08-18,15,46,61,63,64,1
2025-08-20,31,59,62,65,68,5
2025-08-23,11,14,34,47,51,18
2025-08-25,16,19,34,37,64,22
2025-08-27,9,12,22,41,61,25
2025-08-30,3,18,22,27,33,17
2025-09-01,8,23,25,40,53,5
2025-09-03,3,16,29,61,69,22
2025-09-06,11,23,44,61,62,17
2025-09-08,26,28,41,53,64,9
2025-09-10,2,24,45,53,64,5
2025-09-13,28,37,42,50,53,19
2025-09-15,14,15,32,42,49,1
2025-09-17,7,30,50,54,62,20
2025-09-20,15,29,64,66,67,4
2025-09-22,3,29,42,46,59,15
2025-09-24,15,31,45,49,53,19
2025-09-27,10,16,32,61,66,4
2025-09-29,1,3,27,60,65,16
2025-10-01,8,17,22,28,55,14
2025-10-04,3,7,47,67,68,2
2025-10-06,28,29,32,66,67,3
2025-10-08,8,10,44,48,54,14
2025-10-11,13,16,18,20,27,10
2025-10-13,13,14,32,52,64,12
2025-10-15,10,13,28,34,47,15
2025-10-18,3,11,27,40,58,10
2025-10-20,32,38,66,67,69,19
2025-10-22,18,37,52,54,60,12
2025-10-25,2,12,22,39,67,15
2025-10-27,17,39,43,51,66,20
2025-10-29,4,24,49,60,65,1
2025-11-01,2,26,43,44,62,22
2025-11-03,3,32,40,43,57,18
2025-11-05,9,17,29,61,66,26
2025-11-08,3,53,60,62,68,11
2025-11-10,6,28,44,48,58,23
2025-11-12,29,39,43,51,65,23
2025-11-15,6,7,12,47,53,21
2025-11-17,7,33,50,57,66,23
2025-11-19,10,31,49,51,68,19
2025-11-22,28,32,36,51,69,2
2025-11-24,8,16,26,30,58,14
2025-11-26,7,8,15,19,28,3
2025-11-29,19,22,30,32,59,1
2025-12-01,5,18,26,47,59,1
2025-12-03,1,14,20,46,51,26
2025-12-06,13,14,26,28,44,7
2025-12-08,8,32,52,56,64,23
2025-12-10,10,16,29,33,69,22
2025-12-13,1,28,31,57,58,16
2025-12-15,23,35,59,63,68,2
2025-12-17,25,33,53,62,66,17
2025-12-20,4,5,28,52,69,20
2025-12-22,3,18,36,41,54,7
2025-12-24,4,25,31,52,59,19
2025-12-27,5,20,34,39,62,1
2025-12-29,11,19,34,48,53,21
2025-12-31,11,18,21,24,38,26
2026-01-03,18,21,40,53,60,23
2026-01-05,4,18,24,51,56,14
2026-01-07,15,28,57,58,63,23
2026-01-10,5,19,21,28,64,14
2026-01-12,5,27,45,56,59,4
2026-01-14,6,24,39,43,51,2
2026-01-17,5,8,27,49,57,14
2026-01-19,5,28,34,37,55,17
2026-01-21,11,26,27,53,55,12
2026-01-24,2,16,35,61,63,5
2026-01-26,21,31,51,60,63,18
2026-01-28,21,35,40,46,68,11
2026-01-31,2,8,14,40,63,23
2026-02-02,3,8,31,60,65,4
2026-02-04,27,29,30,37,58,15
2026-02-07,25,36,42,51,58,6
2026-02-09,6,19,22,28,48,24
2026-02-11,6,20,33,40,48,5
2026-02-14,23,43,58,60,64,24
2026-02-16,16,18,19,56,58,6
2026-02-18,9,33,52,64,66,1
2026-02-21,27,28,36,48,49,21
2026-02-23,5,11,23,29,47,6
2026-02-25,50,52,54,56,64,23
2026-02-28,6,20,35,54,65,10
2026-03-02,2,17,18,38,62,20
2026-03-04,7,14,42,47,56,6
2026-03-07,17,18,30,50,68,24
2026-03-09,22,23,28,36,54,13
2026-03-11,3,6,55,58,63,12
2026-03-14,9,30,42,50,52,21
2026-03-16,7,10,20,47,52,20
2026-03-18,14,18,19,21,69,1
2026-03-21,12,28,36,41,59,2
2026-03-23,12,18,47,56,63,1
2026-03-25,7,21,55,56,64,26
2026-03-28,11,42,43,59,61,25
2026-03-30,7,11,31,41,57,20
2026-04-01,4,10,11,52,64,24
2026-04-04,3,6,13,41,65,1
2026-04-06,7,24,37,42,57,5
2026-04-08,3,16,17,42,52,3
2026-04-11,6,47,49,53,60,6
2026-04-13,38,43,59,63,64,15
2026-04-15,13,21,27,43,45,26
2026-04-18,24,25,39,46,61,1
2026-04-20,9,17,36,47,64,26
2026-04-22,24,29,32,49,63,11
2026-04-25,4,30,36,52,57,2
2026-04-27,18,31,33,36,62,3
2026-04-29,3,19,35,51,67,15
2026-05-02,25,37,42,52,65,14
2026-05-04,30,36,42,60,63,13
2026-05-06,18,27,51,65,68,5
2026-05-09,15,41,46,47,56,22
2026-05-11,24,30,37,56,64,7
2026-05-13,22,31,52,56,67,15
2026-05-16,8,37,40,44,65,18
2026-05-18,4,13,34,61,65,12
2026-05-20,10,28,30,46,57,25
2026-05-23,4,16,41,48,66,26
2026-05-25,17,32,48,60,64,10
2026-05-27,5,14,21,31,51,13
2026-05-30,1,27,35,44,52,12
2026-06-01,2,42,47,57,58,14
2026-06-03,14,16,38,55,64,12
2026-06-06,16,32,55,59,64,3
2026-06-08,3,24,34,43,49,20
2026-06-10,12,31,38,60,66,14
2026-06-13,3,13,44,50,53,2
2026-06-15,25,55,57,60,62,23
2026-06-17,3,26,49,53,61,12
2026-06-20,16,20,44,48,50,15
2026-06-22,17,19,21,45,48,13
2026-06-24,13,14,16,21,38,14
2026-06-27,3,16,28,30,59,11
2026-06-29,10,14,41,53,59,3
2026-07-01,2,6,26,39,68,6
2026-07-04,17,38,46,50,69,20
2026-07-06,17,44,63,66,67,4
2026-07-08,12,29,37,43,55,18
2026-07-11,8,10,14,45,59,5
2026-07-13,5,25,36,40,48,3
2026-07-15,2,7,18,29,38,16
